'(ID)','Company Name','Type','Address','City','State','ZIP','Country','Phone','Website','Inception Date','Jurisdiction','SEC Number','Employees (from Statements->Employees," most recent)'	",'Contact Name 1',Contact Title 1',Contact Name 2',Contact Title 2',Contact Name 3',Contact Title 3'
801-73074,  Babson Capital Global Advisors Limited     ,Funds Manager, 61 Aldwych, London,  WC2B 4AE ,, United Kingdom,4.42E+11,#,2/7/12,3/31/15,United Kingdom,801-73074,89,Sheldon Francis,Director,Bernadette Clegg,Director,Christopher Defrancis,Company Secretary
801-77893,  Blackstone Treasury Solutions Advisors L.L.C.     ,Funds Manager, 345 Park Avenue, New York, New York,10154, United States,  (212) 583-5000,http://www.blackstone.com,4/4/13,3/31/15,Delaware,801-77893,18,Laurence Tosi,Senior Managing Director,Matthew Skurbe,Managing Director,Kathleen Skero,Chief Financial Officer
801-72002,"  Westchester Capital Management, LLC     ",Funds Manager, 100 Summit Lake Drive, Valhalla, New York,  10595-1339 , United States,  (914) 741-5600,http://www.westchestercapitalfunds.com,12/17/10,3/31/15,Delaware,801-72002,15,Bruce Rubin,Chief Compliance Officer and Chief Operating Officer,Roy Behren,"Elected Manager, Co-President and Treasurer",Michael Shannon,Elected Manager and Co-President
801-61377,  Blackstone Real Estate Advisors IV L.L.C.     ,Funds Manager, 345 Park Avenue, New York, New York,10154, United States,  (212) 583-5000,http://www.blackstone.com,8/16/02,3/31/15,Delaware,801-61377,245,Jonathan Gray,Global Head of Real Estate,Judy Turchin,Chief Compliance Officer of Registrant and Each Relying Adviser,Kathleen McCarthy-Baldwin,Global Real Estate Chief Operating Officer
801-79387,  Anandar Capital Management LP     ,Funds Manager, 444 Madison Avenue, New York City, New York,10022, United States,  (212) 901-3400,#,3/20/14,3/31/15,Delaware,801-79387,11,Min Htoo,Founder &amp; Chief Executive Officer &amp; Chief Investment Officer,Jordan Teramo,President and Co-Founder,Christopher Sullivan,Chief Compliance Officer &amp; Chief Financial Officer
801-74053,"  Quantum Advisers, LLC     ",Funds Manager, 1401 Mckinney Street, Houston, Texas,77010, United States,  (713) 452-2000,http://www.quantumep.com,3/30/12,3/31/15,Delaware,801-74053,41,"S., Jr. VanLoh",Chief Executive Officer,Michael Denham,"Chief Financial Officer, Chief Compliance Officer",James Baird,"Managing Director, General Counsel"
801-73473,"  Miura Global Management, LLC     ",Funds Manager," Miura Global Management, Llc", New York, New York,10178, United States,  (212) 984-8832,#,3/1/12,3/31/15,Delaware,801-73473,20,Francisco Alfaro,Managing Member,Michael Priest,Chief Operating Officer,Joseph Luca,Chief Financial Officer
801-73214,"  Westchester Capital Partners, LLC     ",Funds Manager, 100 Summit Lake Drive, Valhalla, New York,  10595-1339 , United States,  (914) 741-5600,#,2/22/12,3/31/15,Delaware,801-73214,15,Frederick Green,Member,Roy Behren,"Co-Manager, Co-President, Treasurer and Member",ROBERT LYNCH,Member
801-78997,"  Alphaparity, LLC     ",Funds Manager, 430 Park Avenue, New York, New York,  10022-3528 , United States,  (646) 791-2600,http://www.alphaparity.com,1/3/14,3/31/15,Delaware,801-78997,7,Shlomo Gross,"Founder and Chief Investment Officer, Alphaparity, Llc",Joshua Smith,"Head of Quantitative Research, Alphaparity, Llc",Edward McGraw,"Chief Compliance Officer / Coo, Alphaparity, Llc"
801-73738,  Paramount Group Real Estate Advisor LLC     ,Funds Manager, 1633 Broadway, New York, New York,  10019-6708 , United States,  (212) 237-3100,http://www.paramount-group.com/index-home.shtml,3/30/12,3/31/15,Delaware,801-73738,80,Gage Johnson,"Chief Legal Officer, Vice President, and Chief Compliance Officer",Albert Behler,Chief Executive Officer,Michael Walsh,"Chief Financial Officer, Executive Vice President"
