(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-80642,"  Spouting Rock Wealth Advisors, LLC     ","Funds Manager"," 5 Radnor Corporate Center"," Radnor"," Pennsylvania","  19087 "," United States","  (610) 788-2128",http://www.spoutingrock.us,2014-12-05,Delaware,801-80642,7,"Blakely Page","Managing Member","Erich Hickey",President,"Jeremy Tennenbaum",Chairman
801-61546,"  ACT II Capital, L.L.C.     ","Funds Manager"," 295 Madison Avenue"," New York"," New York","  10017 "," United States","  (212) 247-2990",,2002-10-24,Delaware,801-61546,4,"Dennis Leibowitz","Managing Member","Darren Sardoff","Non-Managing Member","Joshua Rosen","Non-Managing Member"
801-68218,"  Alpha Fiduciary, Inc.     ","Funds Manager"," 7010 E. Chauncey Lane"," Phoenix"," Arizona","  85054 "," United States","  (480) 505-4033",http://www.alphafiduciary.com,2007-08-02,Arizona,801-68218,10,"Arthur Doglione","Managing Member &amp; President","Peter Eickelberg",Cco,,
801-30781,"  Budge Financial Inc     ","Funds Manager"," 4925 Greenville Ave"," Dallas"," Texas","  75206 "," United States","  (214) 363-3008",http://www.budgefinancial.com,1988-01-07,Texas,801-30781,1,"Arthur Budge","President &amp; Chief Executive Officer","Patricia Stoll","Chief Compliance Officer",,
801-60687,"  Kinsight, LLC     ","Funds Manager"," 600 University Park Place"," Birmingham"," Alabama","  35209 "," United States","  (205) 871-3334",http://www.kinsight.com,2001-11-09,Alabama,801-60687,10,"Charles Haines","Ceo &amp; President &amp; Member","Joshua Lancaster","Chief Compliance Officer &amp; Member","Robert Thurber","Owner of Registrant &amp; Member"
801-76800,"  Brevan Howard US Investment Management LP     ","Funds Manager"," 590 Madison Avenue"," New York"," New York","  10022 "," United States","  (212) 602-7800",http://www.brevanhoward.com,2012-06-14,Delaware,801-76800,45,"Giles Coppel","Head of Trading; Executive Committee - Member","David Gilbert","Chief Compliance Officer; Chief Operating Officer; Executive Committee - Member","Matthew Garter","Senior Risk Officer; Executive Committee - Member"
801-73762,"  Ada Investment Management, LP     ","Funds Manager"," 250 W 55th Street"," New York"," New York","  10019-7599 "," United States","  (212) 259-4400",http://www.adainvestments.com,2012-03-30,Delaware,801-73762,6,"Vinay Nair","Chief Investment Officer and Limited Partner","G. Hardymon","Limited Partner","Bilge Yilmaz",Principal
801-66868,"  CCMP Capital Advisors, LLC     ","Funds Manager"," 245 Park Avenue, 16th Floor"," New York"," New York","  10167 "," United States","  (212) 600-9600",http://www.ccmpcapital.com,2006-06-20,Delaware,801-66868,50,"Richard Jansen","General Counsel","Greg Brenneman","Chairman, Chief Executive Officer and President","Allison Bernbach","Chief Compliance Officer"
801-62330,"  Bluemountain Capital Management, LLC     ","Funds Manager"," 280 Park Avenue, 12th Floor"," New York"," New York","  10017 "," United States","  (212) 905-3900",https://www.bluemountaincapital.com,2003-09-05,Delaware,801-62330,272,"Andrew Feldstein","Chief Executive Officer; Co-Chief Investment Officer","Stephen Siderow","Managing Partner; Co-President","Alan Gerstein","Managing Partner"
801-34605,"  Brookfield Investment Management Inc.     ","Funds Manager"," Brookfield Place"," New York"," New York","  10281-1023 "," United States","  (212) 549-8400",http://www.brookfieldim.com,1989-05-30,Delaware,801-34605,135,"Jonathan Tyras","Managing Director, Secretary, General Counsel and Cfo","Seth Gelman","Director, Chief Compliance Officer","Craig Noble","Chief Executive Officer &amp; Chief Investment Officer"
801-55543,"  AQR Capital Management, LLC     ","Funds Manager"," Two Greenwich Plaza"," Greenwich"," Connecticut","  6830 "," United States","  (203) 742-3600",https://funds.aqr.com,1998-05-13,Delaware,801-55543,507,"Clifford Asness","President, Founding and Managing Principal","David Kabiller","Founding Principal","John Liew","Founding Principal"
801-28696,"  Mason Hill Advisors LLC     ","Funds Manager"," 623 Fifth Avenue"," New York"," New York","  10022 "," United States","  (212) 832-1290",https://www.equinoxpartners.com/,1987-01-08,Delaware,801-28696,17,"William Strong","Chairman of Mason Hill Advisors Llc","SEAN FIELER","Manager &amp; Member of Mason Hill Advisors Llc","Roger Anscher","Chief Compliance Officer &amp; Chief Operating Officer of Mason Hill Advisors Llc; Chief Compliance Officer of Ws Consulting Llc"
801-66095,"  Achievement Asset Management LLC     ","Funds Manager"," 141 W Jackson Blvd."," Chicago"," Illinois","  60604 "," United States","  (312) 610-7700",http://www.achieveam.com/,2006-02-17,Delaware,801-66095,69,"Donna MacDonald","Chief Compliance Officer","Joseph Scoby","Chief Executive Officer","Tomas Hricko","Chief Operating Officer"
801-78266,"  Scout Energy Management LLC     ","Funds Manager"," 4901 Lbj Freeway"," Dallas"," Texas","  75244 "," United States","  (972) 277-1373",http://www.scoutep.com,2013-07-09,Texas,801-78266,4,"John Baschab","Member, Elected Manager and Managing Director","Todd Flott","Member, Elected Manager and Managing Director","Jon Piot","Member, Elected Manager, Chief Compliance Officer and Managing Director"
801-54874,"  Highland Capital Management, L.P.     ","Funds Manager"," 300 Crescent Court"," Dallas"," Texas","  75201 "," United States","  (972) 628-4100",http://highlandcapital.com/,1997-09-12,Delaware,801-54874,112,"MARK OKADA","Chief Investment Officer, Limited Partner","Lawrence Tonomura","Trustee for the Mark and Pamela Okada Family Trust - Exempt Descendants Trust","Scott Ellington","Chief Legal Officer and General Counsel"
801-73007,"  Guggenheim Fund Solutions, LLC     ","Funds Manager"," 135 East 57th Street"," New York"," New York","  10022 "," United States","  (212) 377-3770",http://www.guggenheimfundsolutions.com,2012-02-02,Delaware,801-73007,34,"Ajay Chitkara","Senior Managing Director","Patrick McMahon","Managing Director, Chief Compliance Officer","Diego Winegardner","Senior Managing Director"
801-13457,"  W. H. Reaves &amp; Co., Inc.     ","Funds Manager"," 10 Exchange Place, 18th Floor"," Jersey City"," New Jersey","  7302 "," United States","  (201) 332-4596",http://www.whreaves.com,1977-10-01,Delaware,801-13457,26,"William Ferer",President,"Ronald Sorenson","Vice Chairman, Chief Executive Officer","Louis Cimino","Vice President, Chief Operating Officer, Treasurer"
801-68742,"  Certium Asset Management LLC     ","Funds Manager"," 3333 Piedmont Road NE"," Atlanta"," Georgia","  30305 "," United States","  (404) 845-7696",http://www.certiumllc.com,2008-01-15,Delaware,801-68742,3,"Ashi Parikh","Chief Executive Officer","John Deakins","Chief Investment Officer","John Stebbins","Chief Financial Officer"
