(ID),Company Name,Type,Address,City,State,ZIP,Country,Phone,Website,Inception Date,Jurisdiction,SEC Number,"Employees (from Statements->Employees, most recent)",Contact Name 1,Contact Title 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-81041,"  Waycross Partners, LLC     ",Funds Manager," 401 W. Main St, Suite 2100", Louisville, Kentucky,40202, United States,  (502) 410-1900,http://www.waycrosspartners.com,3/3/15,5/26/15,Kentucky,801-81041,7,Larry Walker,"Member, Chief Compliance Officer",Matthew Bevin,Member,John Ferreby,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-61029,  Guggenheim Real Estate LLC     ,Funds Manager, 500 Boylston Street, Boston, Massachusetts,2116, United States,  (617) 859-4600,http://www.guggenheimpartners.com,3/29/02,5/26/15,Delaware,801-61029,22,Michael Fera,Chief Financial Officer,Theresa Apruzzese,Chief Compliance Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-78202,"  Localshares, Inc. - Legal Name; Localshares - Business Name     ",Funds Manager, 618 Church Street, Nashville, Tennessee,37219, United States,  (615) 327-4776,http://www.localshares.com,6/14/13,5/26/15,Delaware,801-78202,2,Elizabeth Courtney,Elected Manager (Ceo),Carter Todd,Elected Manager (Cco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  AQM Capital LLC     ,Funds Manager, 375 Park Avenue, New York, New York,10152, United States,  (212) 763-0070,http://www.aquamarinecapital.com,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"  Franklin Park Associates, LLC     ",Funds Manager, Three Bala Plaza, Bala Cynwyd, Pennsylvania,19004, United States,  (610) 822-0500,http://www.franklinparkllc.com,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-73480,"  Rho Capital Partners, Inc     ",Funds Manager," 152 W. 57th Street, 23rd Floor", New York, New York,  10019-3310 , United States,  (212) 751-6677,http://www.rho.com,3/30/12,5/26/15,New York,801-73480,22,Joshua Ruch,"Ceo, Managing Partner, Director, Shareholder",Habib Kairouz,"Managing Partner, Director, Shareholder",Mark Leschly,"Managing Partner, Director, Shareholder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-72406,  Value Partners Hong Kong Limited     ,Funds Manager," 9th Floor, Nexxus Building", Hong Kong,   Hong Kong,, Phone: 85228809263,,http://www.valuepartners.com.hk,8/9/11,5/26/15,Hong Kong,801-72406,157,Cheng Cheah,Director and Co-Chief Investment Officer,Man Ho,Director and Investment Director,Wimmie Cheung,Head of Legal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-66149,  Corsair Capital LLC     ,Funds Manager, 717 Fifth Avenue, New York, New York,10022, United States,  (212) 224-9400,http://www.corsair-capital.com,2/8/06,5/26/15,Delaware,801-66149,40,Nicholas Paumgarten,Founder,D.T. Ignacio Jayanti,Managing Partner,Amy Knapp,Chief Operating Officer / Chief Financial Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-67969,"  CFS, LLC     ",Funds Manager, 210 Park Avenue, Oklahoma City, Oklahoma,73102, United States,  (405) 848-6999,http://www.covenantinvestors.com,6/7/07,5/26/15,Oklahoma,801-67969,4,Stephen Shafer,Member/Manager/Chief Investment Officer/Chief Compliance Officer,Jonathan Kuhlman,Chief Operating Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-80213,  OBP Capital LLC     ,Funds Manager, 116 South Franklin Street, Rocky Mount, North Carolina,27802, United States,  (252) 972-9922,http://www.ncfunds.com,9/12/14,5/26/15,North Carolina,801-80213,4,Katherine Honey,Member,John Canning,Chief Compliance Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-56264,  Credit Suisse Securities (USA) LLC     ,Funds Manager, 11 Madison Avenue, New York, New York,10010, United States,  (212) 325-2000,http://www.credit-suisse.com,3/12/99,5/26/15,Delaware,801-56264,9443,Donald Radey,General Counsel,Louise Guarneri,Chief Compliance Officer (Cco) for Broker-Dealer,Lewis Wirshba,Board Member &amp; Chief Operating Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-78674,"  Goodwood Advisors, LLC     ",Funds Manager, 450 Laurel Street, Baton Rouge, Louisiana,70801, United States,  (225) 706-1599,,10/17/13,5/26/15,Louisiana,801-78674,5,Ryan Thibodeaux,Chief Compliance Officer,Paul McCown,Member,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801-69212,  Nomura Global Alpha LLC     ,Funds Manager, World Wide Plaza, New York, New York,  10019-7316 , United States,  (212) 667-1414,,6/11/08,5/26/15,Delaware,801-69212,9,Neil Daniele,"Chief Compliance Officer, Corporate Secretary",Shalabh Garg,Chief Investment Officer,Hiromichi Aoki,Chief Administrative Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
